C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.27CEST21:49:39,,,,,,,,,,,
,,,,,,,,,,,
PN K,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,   radvel   ,  redshift  ,     cz     ,#not
29,PN K       ,PN Lo 8,PN ,13 25 37.5025333848 -37 36 14.736103488,13 22 45.3722343693 -37 20 39.368777698,310.3826785929624 +24.7725595635109,-6.888 4.102,~           ,~           ,~           ,0
30,PN K       ,PN Lo 9,PN ,15 42 13.340 -47 40 46.33,15 38 39.538 -47 31 12.86,330.255062 +05.926021,            ~ ~ ,-33,-0.000110,-33.00,0
31,PN K       ,PN K 1-31,PN ,15 53 12.513 -41 50 26.15,15 49 48.197 -41 41 33.05,335.470782 +09.267157,            ~ ~ ,-62,-0.000207,-61.99,0
32,PN K       ,PN Lo 11,PN ,16 03 22.211 -36 00 53.73,16 00 06.290 -35 52 39.07,340.895344 +12.341301,            ~ ~ ,-79,-0.000263,-78.99,0
33,PN K       ,PN Lo 12,PN ,16 08 26.53 -37 08 45.0,16 05 08.29 -37 00 49.7,340.86896 +10.81980,            ~ ~ ,9,0.000030,9.00,0
34,PN K       ,LBN 809,RNe,05 07 09.096 +30 49 28.13,05 03 56.662 +30 45 32.27,173.775408 -05.868226,            ~ ~ ,~           ,~           ,~           ,2
35,PN K       ,PN K 2-2,PN ,06 52 23.1654838296 +09 57 55.772161416,06 49 37.9504973353 +10 01 37.377533657,204.1496676187508 +04.7343958614891,-2.265 -8.389,-44.4,-0.000148,-44.40,0
36,PN K       ,PN K 2-3,PN ,07 06 56.8 -22 02 26,07 04 49.0 -21 57 42,234.3392 -06.6228,            ~ ~ ,738,0.002465,738.91,0
37,PN K       ,PN K 2-4,PN?,12 18 18.5 +11 03 08,12 15 45.7 +11 19 47,275.4885 +72.1355,            ~ ~ ,~           ,~           ,~           ,1
38,PN K       ,PN K 2-5,PN ,17 54 26.179 -12 48 35.95,17 51 37.217 -12 48 05.46,014.948674 +06.460992,            ~ ~ ,-5,-0.000017,-5.00,0
39,PN K       ,IRAS 18390+2653,G  ,18 41 03.1697751600 +26 56 20.153678136,18 39 02.7885196451 +26 53 25.888926317,056.2994433521043 +14.0352773106554,            ~ ~ ,15085,0.051652,15484.88,2
40,PN K       ,PN K 2-7,PN ,19 40 29.0909353872 -20 27 05.899656780,19 37 32.6019034109 -20 34 05.349635880,019.4067523487356 -19.6593993575647,2.196 -4.939,-17.78,-0.000059,-17.78,0
41,PN K       ,PN K 2-8,*  ,17 05 31.1715589320 -10 05 48.934490460,17 02 45.8870366399 -10 01 46.967259218,010.9234359413980 +18.1038886099103,-0.783 -1.763,~           ,~           ,~           ,2
42,PN K       ,PN K 2-9,?  ,18 18 41.0 -28 09 24,18 15 31.5 -28 10 39,004.2593 -05.9355,            ~ ~ ,~           ,~           ,~           ,2
43,PN K       ,PN K 2-10,?  ,19 13 00.0 -03 32 00,19 10 22.2 -03 37 08,032.2346 -06.4048,            ~ ~ ,~           ,~           ,~           ,2
44,PN K       ,PN K 2-11,?  ,19 14 17.0 +03 34 47,19 11 47.1 +03 29 33,038.7310 -03.4355,            ~ ~ ,~           ,~           ,~           ,2
45,PN K       ,PN K 2-12,PN?,06 02 06.8725278720 -37 25 25.207145400,06 00 24.2700873602 -37 25 19.912079787,243.7874615919412 -25.3434877621554,-0.319 2.612,~           ,~           ,~           ,0
46,PN K       ,PN K 2-13,err,06 25 28.7 -39 51 48,06 23 50.4 -39 50 00,247.7737 -21.6835,            ~ ~ ,~           ,~           ,~           ,2
47,PN K       ,EM* MWC 819,Em*,06 44 37.6690072032 +01 19 32.611712052,06 42 02.3852007142 +01 22 40.910558034,210.9755224944485 -00.9101801351312,-0.343 0.630,~           ,~           ,~           ,2
48,PN K       ,PN K 2-15,HII,08 48 39.0553841664 -42 53 54.005736984,08 46 51.3829918565 -42 42 44.318723791,263.2258592443974 +00.4989360179661,-5.555 4.680,~           ,~           ,~           ,2
49,PN K       ,PN K 2-16,PN ,16 44 49.0522431864 -28 04 04.706514300,16 41 41.6951797826 -27 58 35.122385314,352.9472525502634 +11.3959977667726,-2.434 -2.694,-2,-0.000007,-2.00,0
50,PN K       ,PN K 2-17,PN ,17 09 35.8681643016 -52 13 02.349745824,17 05 38.2281452781 -52 09 14.904902579,336.8227321790665 -07.2374752652895,-1.650 -4.874,8,0.000027,8.00,0
51,PN K       ,PN K 559,PN ,No Coord.                              ,No Coord.                              ,No Coord.                          ,            ~ ~ ,~           ,~           ,~           ,0
52,PN K       ,NGC 7078 645,*  ,21 29 59.484 +12 10 51.22,21 27 34.466 +11 57 39.36,065.028066 -27.307409,            ~ ~ ,~           ,~           ,~           ,1
53,PN K       ,PN K 3-1,PN ,18 23 21.73 +03 36 28.2,18 20 52.13 +03 34 51.6,032.95475 +07.88773,            ~ ~ ,~           ,~           ,~           ,0
54,PN K       ,PN K 3-2,PN ,18 25 00.5652486576 -01 30 52.497857916,18 22 25.0191821122 -01 32 35.863293401,028.5569918623055 +05.1817026214197,-2.849 -3.221,15,0.000050,15.00,0
55,PN K       ,PN K 3-3,PN ,18 27 09.236 +01 14 24.33,18 24 36.873 +01 12 31.36,031.263780 +05.967948,            ~ ~ ,~           ,~           ,~           ,0
56,PN K       ,PN K 3-4,PN ,18 31 00.227 +02 25 27.35,18 28 29.229 +02 23 17.62,032.763789 +05.650699,            ~ ~ ,~           ,~           ,~           ,0
57,PN K       ,PN K 3-5,PN ,18 31 45.8281755432 +04 05 09.319126848,18 29 16.7599431145 +04 02 56.567611235,034.3394095432443 +06.2347765052734,-1.252 -6.841,~           ,~           ,~           ,0
58,PN K       ,PN K 3-6,PN ,18 33 17.4969402000 +00 11 46.782624084,18 30 43.9195341458 +00 09 27.234189926,031.0349605511696 +04.1263442167867,            ~ ~ ,~           ,~           ,~           ,0
59,PN K       ,PN K 3-7,PN ,18 34 13.60 -02 27 37.1,18 31 36.95 -02 30 00.6,028.77634 +02.70181,            ~ ~ ,~           ,~           ,~           ,0
60,PN K       ,IRAS 18324+0502,Mi*,18 34 53.8315521336 +05 04 52.252565196,18 32 25.9127049076 +05 02 25.795886158,035.5870849811038 +05.9874083498674,-2.821 -4.942,~           ,~           ,~           ,1
61,PN K       ,PN K 3-9,Sy*,18 40 24.1837249512 -08 43 46.321900536,18 37 40.2633097207 -08 46 36.104055734,023.9094051356004 -01.5394873120189,-0.177 -2.350,~           ,~           ,~           ,1
62,PN K       ,IRAS 18378+1408,Mi*,18 40 06.9697697280 +14 11 44.796943608,18 37 49.8169162036 +14 08 55.083436813,044.3994796792045 +08.8837120893121,-0.051 1.711,~           ,~           ,~           ,1
