C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.27CEST21:47:20,,,,,,,,,,,
,,,,,,,,,,,
PN M,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,  radvel   ,  redshift  ,    cz     ,#not
30,PN M       ,PN M 1-30,PN ,17 52 58.95 -34 38 22.6,17 49 39.04 -34 37 44.6,355.90394 -04.26919,            ~ ~ ,-127,-0.000424,-126.97,0
31,PN M       ,PN M 1-31,PN ,17 52 41.4448424016 -22 21 57.159303984,17 49 40.1961553482 -22 21 18.576470989,006.4545364660199 +02.0148064560193,            ~ ~ ,~          ,~           ,~          ,0
32,PN M       ,PN M 1-32,PN ,17 56 20.11 -16 29 04.6,17 53 26.56 -16 28 42.2,011.97700 +04.23372,            ~ ~ ,-86,-0.000287,-85.99,1
33,PN M       ,PN M 1-33,PN ,17 58 58.81 -15 32 14.8,17 56 06.45 -15 32 04.0,013.11782 +04.15255,            ~ ~ ,-60,-0.000200,-59.99,1
34,PN M       ,PN M 1-34,PN ,18 01 22.146 -33 17 45.21,17 58 04.477 -33 17 43.96,357.940438 -05.111378,            ~ ~ ,-5,-0.000017,-5.00,0
35,PN M       ,PN M 1-35,PN ,18 03 39.30 -26 43 33.9,18 00 31.87 -26 43 43.0,003.92288 -02.32304,            ~ ~ ,~          ,~           ,~          ,0
36,PN M       ,IC 4673,PN ,18 03 18.4585925304 -27 06 22.715564832,18 00 10.4725401089 -27 06 30.156962009,003.5532601352851 -02.4421486392080,0.044 -2.999,~          ,~           ,~          ,0
37,PN M       ,PN M 1-37,PN ,18 05 25.8092901000 -28 22 04.282489956,18 02 15.9652662735 -28 22 20.743357796,002.6809612861000 -03.4684020151213,-4.779 -6.894,202,0.000674,202.07,0
38,PN M       ,PN M 1-38,PN ,18 06 05.74 -28 40 30.0,18 02 55.42 -28 40 49.7,002.48310 -03.74538,            ~ ~ ,-92,-0.000307,-91.99,0
39,PN M       ,PN M 1-39,PN ,18 07 30.7 -13 28 49,18 04 40.9 -13 29 15,015.9282 +03.3578,            ~ ~ ,87,0.000290,87.01,1
