C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.23CEST20:54:33,,,,,,,,,,,
,,,,,,,,,,,
PN H,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,  radvel   ,  redshift  ,    cz     ,#not
29,PN H       ,PN H 1-29,WV*,17 44 13.8729577601 -34 17 32.824856894,17 40 54.7032127708 -34 16 16.191047785,355.2750615152446 -02.5429450633118,-8.018 -8.869,~          ,~           ,~          ,0
30,PN H       ,PN H 1-30,PN ,17 45 06.80 -38 08 49.7,17 41 40.69 -38 07 37.1,352.06808 -04.69881,            ~ ~ ,-33,-0.000110,-33.00,0
31,PN H       ,PN H 1-31,PN ,17 45 31.9673698920 -34 33 54.807699996,17 42 12.2727672789 -34 32 44.283723362,355.1818659241532 -02.9141246865468,1.401 0.190,~          ,~           ,~          ,0
32,PN H       ,PN H 1-32,PN ,17 46 06.32760 -34 03 46.3356,17 42 47.48674 -34 02 38.3330,355.67324660 -02.75450798,            ~ ~ ,~          ,~           ,~          ,0
33,PN H       ,PN H 1-33,PN ,17 47 49.4162559989 -34 08 05.126681277,17 44 30.4298614167 -34 07 04.618362711,355.7956746741827 -03.0961670957679,            ~ ~ ,~          ,~           ,~          ,0
34,PN H       ,PN H 1-34,PN ,17 48 07.572 -22 46 47.33,17 45 05.789 -22 45 48.79,005.559192 +02.708621,            ~ ~ ,~          ,~           ,~          ,0
35,PN H       ,PN H 1-35,PN ,17 49 13.9398459192 -34 22 52.812575256,17 45 54.5622212331 -34 21 58.343485753,355.7334637503126 -03.4725607586640,-11.502 -1.989,128,0.000427,128.03,0
36,PN H       ,Hen 2-289,Sy*,17 49 48.2107694784 -37 01 27.797630520,17 46 24.1104657862 -37 00 35.745231102,353.5134986084814 -04.9208622139173,            ~ ~ ,~          ,~           ,~          ,0
37,PN H       ,PN H 1-37,PN ,17 50 44.56 -39 17 25.8,17 47 16.18 -39 16 37.7,351.64331 -06.22657,            ~ ~ ,-28,-0.000093,-28.00,0
38,PN H       ,PN H 1-38,PN ,17 50 45.24 -37 23 52.1,17 47 20.44 -37 23 04.2,353.28672 -05.27333,            ~ ~ ,-151,-0.000504,-150.96,0
39,PN H       ,PN H 1-39,PN ,17 53 21.0206431968 -33 55 58.445317128,17 50 02.3249748781 -33 55 21.798085360,356.5542570948867 -03.9785110058691,-1.657 -5.901,-117,-0.000390,-116.98,0
40,PN H       ,PN H 1-40,PN ,17 55 36.0545698680 -30 33 32.359297176,17 52 22.8493693559 -30 33 05.658357036,359.7145830400181 -02.6915917501653,-2.844 -7.855,~          ,~           ,~          ,0
41,PN H       ,PN H 1-41,PN ,17 57 19.1084978568 -34 09 48.784614372,17 53 59.9984111941 -34 09 29.343347805,356.7661606009403 -04.8056625529342,-2.384 -8.469,68,0.000227,68.01,0
42,PN H       ,PN H 1-42,PN ,17 57 25.1720091886 -33 35 43.132190632,17 54 07.0129987603 -33 35 24.591408919,357.2716052256573 -04.5419289976867,            ~ ~ ,-79,-0.000263,-78.99,0
43,PN H       ,PN H 1-43,PN ,17 58 14.4398681232 -33 47 37.621641912,17 54 55.9486913684 -33 47 22.364888262,357.1835400344238 -04.7886217637175,-1.386 -5.898,31,0.000103,31.00,0
44,PN H       ,PN H 1-44,EB*,17 58 10.6463633856 -31 42 55.980086112,17 54 55.5886867965 -31 42 40.629865047,358.9869505534881 -03.7469662556083,-2.903 -4.800,80,0.000267,80.01,0
45,PN H       ,PN H 1-45,Mi*,17 58 21.8662836432 -28 14 52.195092648,17 55 12.2090939001 -28 14 37.938154882,002.0186238679944 -02.0558456307416,-5.107 -3.327,~          ,~           ,~          ,0
46,PN H       ,PN H 1-46,PN ,17 59 02.5031407080 -32 21 43.494698556,17 55 46.3598983200 -32 21 32.043557665,358.5150334512001 -04.2264684040143,5.541 -1.585,-26,-0.000087,-26.00,0
47,PN H       ,PN H 1-47,PN ,18 00 37.6202014872 -29 21 50.638625244,17 57 26.2377006316 -29 21 46.027630419,001.2949377607330 -03.0402013260887,1.323 -7.017,~          ,~           ,~          ,0
48,PN H       ,PN M 3-22,PN ,18 02 19.238 -30 14 25.38,17 59 06.501 -30 14 28.48,000.711931 -03.791354,            ~ ~ ,-77,-0.000257,-76.99,0
49,PN H       ,EM* AS 269,Sy*,18 03 23.95992 -32 42 24.9408,18 00 07.26670 -32 42 32.6089,358.66510068 -05.19604124,            ~ ~ ,~          ,~           ,~          ,1
50,PN H       ,PN H 1-50,PN ,18 03 53.5082954976 -32 41 42.015068628,18 00 36.8350184273 -32 41 51.837855398,358.7260580059428 -05.2808420929730,            ~ ~ ,74,0.000247,74.01,0
51,PN H       ,PN H 1-51,PN ,18 04 29.30 -34 58 01.0,18 01 08.79 -34 58 13.3,356.78589 -06.48604,            ~ ~ ,-206,-0.000687,-205.93,0
52,PN H       ,PN H 1-52,PN ,18 04 57.6167297064 -37 38 07.461238236,18 01 32.3267972755 -37 38 21.361991260,354.4690573144800 -07.8446390004986,-4.160 -5.517,-124,-0.000414,-123.97,0
53,PN H       ,PN H 1-53,PN ,18 05 57.43 -26 29 42.0,18 02 50.34 -26 30 01.2,004.37639 -02.65905,            ~ ~ ,~          ,~           ,~          ,1
54,PN H       ,PN H 1-54,PN ,18 07 07.2793260936 -29 13 05.972785284,18 03 56.1508139310 -29 13 30.006291195,002.1153160784229 -04.2046497981062,-5.554 -2.395,-151,-0.000504,-150.96,0
55,PN H       ,PN H 1-55,PN ,18 07 14.5591261848 -29 41 24.652100940,18 04 02.6933418817 -29 41 49.378792376,001.7135899581510 -04.4554114807704,-2.445 1.415,-3,-0.000010,-3.00,0
56,PN H       ,PN H 1-56,PN ,18 07 53.8842030888 -29 44 34.338810768,18 04 41.9453868336 -29 45 01.386850430,001.7359911607347 -04.6055066262481,-4.002 -9.423,-134,-0.000447,-133.97,0
57,PN H       ,PN H 1-57,PN ,18 09 49.24 -35 44 13.5,18 06 27.40 -35 44 49.1,356.62256 -07.80852,            ~ ~ ,-19,-0.000063,-19.00,0
58,PN H       ,PN H 1-58,PN ,18 09 13.8424205472 -26 02 28.855631724,18 06 07.4551866785 -26 03 02.089187981,005.1296963450582 -03.0813233056719,-9.057 -6.375,~          ,~           ,~          ,0
59,PN H       ,PN H 1-59,PN ,18 11 29.263 -27 46 15.69,18 08 20.317 -27 46 59.01,003.850244 -04.352100,            ~ ~ ,~          ,~           ,~          ,0
60,PN H       ,PN H 1-60,PN ,18 12 25.22 -27 29 12.8,18 09 16.70 -27 30 00.2,004.19948 -04.39846,            ~ ~ ,-5,-0.000017,-5.00,0
61,PN H       ,PN H 1-61,PN ,18 12 33.99 -24 50 00.5,18 09 29.31 -24 50 48.7,006.55290 -03.16258,            ~ ~ ,~          ,~           ,~          ,0
62,PN H       ,PN H 1-62,PN ,18 13 17.9603689512 -32 19 42.905276868,18 10 01.9458780404 -32 20 33.699429487,359.9996787626107 -06.8504448698737,-3.681 -3.597,-86,-0.000287,-85.99,0
63,PN H       ,PN H 1-63,PN ,18 16 19.3441096560 -30 07 36.067926540,18 13 06.8590415211 -30 08 40.073060227,002.2638947593717 -06.3949631576692,-2.062 -5.998,-36,-0.000120,-36.00,1
64,PN H       ,PN H 1-64,PN ,18 18 23.8355125416 -23 24 57.483122004,18 15 21.2003175148 -23 26 10.860383088,008.4348697152157 -03.6623740571338,-5.636 -6.921,70,0.000234,70.01,0
65,PN H       ,PN H 1-65,PN ,18 20 08.8466492016 -24 15 05.268485484,18 17 05.0636195822 -24 16 26.230175566,007.8829260099418 -04.4074286616093,-4.962 -7.021,110,0.000367,110.02,0
66,PN H       ,PN H 1-66,PN ,18 24 57.539 -25 41 55.76,18 21 51.747 -25 43 37.95,007.100642 -06.043542,            ~ ~ ,85,0.000284,85.01,0
67,PN H       ,PN H 1-67,PN ,18 25 04.976 -22 34 52.64,18 22 03.532 -22 36 35.53,009.894084 -04.634829,            ~ ~ ,22,0.000073,22.00,0
68,PN H       ,PN H 2-1,PN ,17 04 36.2535135873 -33 59 18.777826386,17 01 18.8868454433 -33 55 11.717843287,350.9088348671801 +04.4021734955077,-5.367 -2.076,-25,-0.000083,-25.00,0
